user-discussOKBr,ticket,tipo,modo,contrato,inicio
ppkrauss,1,infra-comunic,suporte contínuo,termoAdesao2017/01,2017-05-22
ppkrauss,2,infra-comunic,suporte contínuo,termoAdesao2017/01,2017-05-22
